,RecordNumber,CustomerId,LastName,RiskScore,Location,Gender,Age,LoyaltyYears,AccountBalance,ProductCount,HasCreditCard,ActiveStatus,IncomeEstimate,AnnualSpending,HasComplaint,ComplaintSatisfaction,CardType,CreditCardPoints
0,1,1000,Jennings,51.0,Indianapolis,Female,36.0,10.0,33172.0,1.0,1.0,0.0,122511.0,57486.342313574,0.0,10.0,American Express,4181.0
1,2,1001,Gallagher,92.0,San Antonio,Female,66.0,2.0,60197.0,8.0,0.0,1.0,113144.0,29617.16936955051,0.0,10.0,American Express,4858.0
2,3,1002,Pham,14.0,Jacksonville,Female,63.0,7.0,59847.0,4.0,0.0,0.0,84824.0,53352.94411854438,1.0,5.0,,389.0
3,4,1003,Henderson,71.0,Indianapolis,Female,36.0,2.0,12577.0,5.0,0.0,1.0,43525.0,7072.432953151591,1.0,4.0,Discover,718.0
4,5,1004,Lambert,60.0,Fort Worth,Male,39.0,13.0,78299.0,8.0,1.0,0.0,77804.0,54096.22746753176,0.0,6.0,Discover,4244.0
5,6,1005,Hill,20.0,Washington,Female,41.0,12.0,21176.0,5.0,1.0,0.0,166115.0,71312.78780682286,0.0,2.0,MasterCard,4678.0
6,7,1006,Simpson,82.0,Houston,Female,62.0,12.0,45386.0,10.0,0.0,1.0,61846.0,20237.62914380707,1.0,8.0,Discover,120.0
7,8,1007,Rodriguez,86.0,San Jose,Male,29.0,1.0,64972.0,4.0,0.0,0.0,97261.0,55154.1495235155,0.0,7.0,American Express,2652.0
8,9,1008,Alexander,74.0,Chicago,Male,47.0,12.0,90791.0,6.0,1.0,1.0,188455.0,86032.36759087643,0.0,2.0,Discover,2303.0
9,10,1009,Roman,74.0,Dallas,Male,55.0,18.0,42003.0,5.0,1.0,0.0,49483.0,592.1282066184249,1.0,4.0,Visa,4861.0
10,11,1010,Vasquez,87.0,Fort Worth,Female,70.0,5.0,20996.0,7.0,1.0,0.0,27265.0,19760.269255277788,1.0,6.0,MasterCard,2911.0
11,12,1011,Wilson,99.0,Seattle,Male,48.0,15.0,87598.0,10.0,0.0,0.0,42763.0,22196.00036983761,1.0,3.0,MasterCard,799.0
12,13,1012,Morales,23.0,Charlotte,Female,53.0,1.0,36931.0,7.0,1.0,0.0,35733.0,13532.365372619455,0.0,4.0,Discover,3380.0
13,14,1013,Snyder,2.0,Houston,Female,36.0,7.0,36710.0,4.0,0.0,0.0,111423.0,51626.04131963278,0.0,2.0,American Express,2106.0
14,15,1014,Mitchell,21.0,Charlotte,Male,65.0,16.0,35693.0,5.0,1.0,1.0,111038.0,53619.81725327388,0.0,8.0,MasterCard,1109.0
15,16,1015,Johnson,52.0,Los Angeles,Male,62.0,1.0,36740.0,3.0,1.0,0.0,57420.0,28834.295891778977,0.0,9.0,Visa,1250.0
16,17,1016,Robinson,1.0,Charlotte,Female,53.0,9.0,78241.0,4.0,0.0,1.0,160319.0,79416.5692470717,1.0,8.0,Visa,2640.0
17,18,1017,Norris,87.0,San Diego,Male,47.0,15.0,94583.0,4.0,0.0,0.0,174912.0,69634.95633471341,0.0,6.0,MasterCard,1649.0
18,19,1018,Sharp,50.0,San Diego,Female,66.0,5.0,77502.0,3.0,0.0,1.0,41058.0,29456.436295692656,0.0,9.0,American Express,1345.0
19,20,1019,French,37.0,Indianapolis,Male,50.0,1.0,18374.0,10.0,1.0,0.0,54929.0,17954.279276784662,1.0,1.0,American Express,2956.0
20,21,1020,Skinner,1.0,Jacksonville,Male,35.0,1.0,77674.0,5.0,1.0,1.0,182434.0,100493.87292658706,1.0,6.0,Discover,2446.0
21,22,1021,Decker,63.0,Denver,Male,45.0,12.0,82471.0,5.0,1.0,1.0,106489.0,60250.174615862416,0.0,6.0,Discover,4994.0
22,23,1022,Moore,59.0,San Jose,Female,66.0,14.0,46913.0,7.0,0.0,0.0,104664.0,54549.27263661631,1.0,10.0,MasterCard,3364.0
23,24,1023,Gentry,20.0,Dallas,Male,45.0,1.0,67025.0,4.0,1.0,0.0,198428.0,81640.00168784316,1.0,4.0,Discover,484.0
24,25,1024,Melendez,32.0,Phoenix,Female,64.0,6.0,45516.0,4.0,0.0,0.0,97597.0,40781.56362562431,0.0,8.0,Discover,802.0
25,26,1025,Rivera,75.0,Philadelphia,Female,28.0,10.0,88796.0,9.0,0.0,1.0,26041.0,30017.605758855592,0.0,10.0,Discover,1715.0
26,27,1026,Schmidt,57.0,Washington,Female,62.0,7.0,27069.0,6.0,0.0,1.0,98209.0,42647.70287971119,0.0,2.0,Visa,1915.0
27,28,1027,Preston,21.0,Los Angeles,Female,50.0,13.0,57233.0,4.0,1.0,0.0,172131.0,80938.8573896074,0.0,3.0,Discover,3483.0
28,29,1028,Christian,88.0,Fort Worth,Male,34.0,6.0,85811.0,2.0,1.0,0.0,119864.0,70326.96267576554,1.0,0.0,MasterCard,1757.0
29,30,1029,Crawford,48.0,Philadelphia,Female,23.0,20.0,60049.0,6.0,0.0,1.0,195794.0,85317.8584768632,1.0,5.0,American Express,1809.0
30,31,1030,Marsh,90.0,Phoenix,Female,21.0,6.0,40178.0,2.0,1.0,1.0,168620.0,82232.97678741754,0.0,3.0,Discover,3007.0
31,32,1031,Myers,58.0,New York,Male,37.0,0.0,33821.0,5.0,0.0,0.0,166150.0,57282.35262370315,0.0,0.0,American Express,3225.0
32,33,1032,Schneider,41.0,Philadelphia,Female,65.0,16.0,52727.0,6.0,0.0,1.0,156491.0,62156.7949118597,1.0,1.0,Discover,3495.0
33,34,1033,Valdez,91.0,Philadelphia,Male,64.0,8.0,61935.0,4.0,1.0,0.0,186562.0,71769.42465792333,0.0,2.0,MasterCard,2320.0
34,35,1034,Liu,59.0,San Francisco,,44.0,20.0,17999.0,3.0,0.0,0.0,135158.0,55116.49590874852,0.0,8.0,Visa,1670.0
35,36,1035,Giles,79.0,Houston,Male,32.0,12.0,63522.0,7.0,0.0,0.0,181409.0,74245.56614820586,0.0,7.0,MasterCard,4615.0
36,37,1036,York,14.0,Austin,Female,23.0,20.0,39712.0,2.0,1.0,1.0,21468.0,27854.62937034195,0.0,6.0,Visa,1151.0
37,38,1037,Jones,61.0,Dallas,Male,64.0,18.0,65551.0,6.0,0.0,1.0,44309.0,21060.582883675583,1.0,10.0,Discover,4747.0
38,39,1038,,61.0,Chicago,Female,31.0,20.0,50970.0,4.0,0.0,1.0,92255.0,46234.85973321282,0.0,3.0,Discover,2223.0
39,40,1039,Horton,46.0,Denver,Female,28.0,18.0,34722.0,6.0,0.0,1.0,101899.0,49480.42911012255,1.0,0.0,Visa,2667.0
40,41,1040,Watson,61.0,San Diego,Male,56.0,16.0,11625.0,4.0,0.0,0.0,48718.0,-674.4777504061058,0.0,7.0,MasterCard,210.0
41,42,1041,Thompson,50.0,Phoenix,Male,26.0,9.0,68165.0,4.0,0.0,1.0,188913.0,107626.51307330203,0.0,3.0,MasterCard,2494.0
42,43,1042,King,54.0,Houston,Male,43.0,9.0,77509.0,4.0,0.0,0.0,197732.0,81220.03115120124,1.0,2.0,Visa,4681.0
43,44,1043,Gomez,63.0,Philadelphia,Male,33.0,10.0,7859.0,9.0,0.0,0.0,126553.0,26434.10086323826,0.0,8.0,Discover,2447.0
44,45,1044,Garcia,2.0,Los Angeles,Female,22.0,7.0,42609.0,7.0,1.0,0.0,70281.0,32082.238985767857,1.0,9.0,Visa,2507.0
45,46,1045,Watkins,100.0,Washington,Female,69.0,19.0,44307.0,3.0,1.0,1.0,133451.0,59415.33467973151,0.0,3.0,Discover,2963.0
46,47,1046,Hunt,50.0,Austin,Male,27.0,19.0,22839.0,3.0,0.0,0.0,20767.0,12502.05620427507,0.0,3.0,Visa,3428.0
47,48,1047,Thompson,6.0,Houston,Female,67.0,17.0,28216.0,6.0,0.0,0.0,154967.0,71541.86112926666,0.0,8.0,Discover,3375.0
48,49,1048,Brown,20.0,Charlotte,Male,20.0,13.0,53953.0,6.0,1.0,1.0,78026.0,51667.29971427056,0.0,10.0,Visa,3955.0
49,50,1049,Jordan,72.0,Philadelphia,Male,30.0,17.0,85481.0,4.0,1.0,0.0,138142.0,71069.21191023845,0.0,1.0,American Express,3705.0
50,51,1050,Johnson,38.0,Indianapolis,Female,60.0,13.0,61593.0,9.0,1.0,1.0,62968.0,40279.10633946648,0.0,4.0,Discover,3405.0
51,52,1051,Garrett,17.0,Philadelphia,Female,66.0,19.0,73075.0,4.0,1.0,1.0,191169.0,82538.11550561913,1.0,3.0,MasterCard,4038.0
52,53,1052,Riley,3.0,Denver,Female,47.0,20.0,50522.0,9.0,1.0,1.0,166404.0,91732.00849240048,0.0,8.0,Visa,1052.0
53,54,1053,,88.0,Los Angeles,Female,62.0,14.0,5886.0,4.0,0.0,0.0,165693.0,42743.389816422336,0.0,4.0,MasterCard,713.0
54,55,1054,Nichols,59.0,Charlotte,Female,45.0,3.0,8485.0,2.0,1.0,1.0,96870.0,35711.06674215897,1.0,8.0,Visa,2888.0
55,56,1055,Frank,13.0,Austin,Female,34.0,12.0,32455.0,2.0,1.0,1.0,38174.0,20193.596311887803,1.0,10.0,MasterCard,687.0
56,57,1056,Harrington,8.0,San Diego,Female,62.0,7.0,50970.0,5.0,1.0,1.0,144357.0,66132.40406064593,0.0,8.0,,329.0
57,58,1057,Garcia,89.0,Denver,Male,68.0,17.0,29453.0,4.0,0.0,1.0,119189.0,41815.461225751,0.0,1.0,Visa,1746.0
58,59,1058,Smith,52.0,Fort Worth,Male,70.0,11.0,50970.0,7.0,0.0,0.0,60502.0,18179.67397603463,1.0,8.0,Visa,1207.0
59,60,1059,Reynolds,1.0,Jacksonville,Male,36.0,13.0,54442.0,5.0,0.0,1.0,56674.0,38228.830160981925,0.0,2.0,MasterCard,2142.0
60,61,1060,Martin,83.0,Phoenix,Male,59.0,1.0,52877.0,6.0,0.0,0.0,57260.0,29150.954922186043,1.0,3.0,MasterCard,784.0
61,62,1061,Salinas,91.0,Philadelphia,Male,52.0,17.0,13226.0,10.0,0.0,1.0,193570.0,87221.59409447649,0.0,0.0,MasterCard,2696.0
62,63,1062,Mcclain,59.0,Houston,Female,63.0,1.0,94405.0,4.0,0.0,0.0,91805.0,38411.37953674914,1.0,0.0,Discover,3820.0
63,64,1063,Haley,70.0,Denver,Male,43.0,10.0,23588.0,2.0,1.0,1.0,37194.0,28833.637667167204,1.0,0.0,Discover,3718.0
64,65,1064,Robertson,43.0,Washington,Male,68.0,8.0,79976.0,10.0,0.0,0.0,177883.0,106196.4936402712,0.0,8.0,American Express,2693.0
65,66,1065,Adams,7.0,New York,Male,22.0,11.0,32709.0,9.0,0.0,1.0,92377.0,34794.05112477523,1.0,10.0,Discover,625.0
66,67,1066,Durham,46.0,Washington,Male,46.0,16.0,48788.0,10.0,1.0,0.0,150864.0,52513.37780506776,0.0,7.0,Discover,4234.0
67,68,1067,Salinas,34.0,Indianapolis,Male,54.0,14.0,89031.0,7.0,0.0,0.0,63723.0,40861.8563362663,0.0,4.0,Visa,3708.0
68,69,1068,Hale,77.0,Jacksonville,Male,37.0,16.0,38019.0,4.0,1.0,0.0,96298.0,41425.1996737138,0.0,4.0,American Express,761.0
69,70,1069,Yates,80.0,Charlotte,Male,66.0,17.0,45948.0,3.0,1.0,1.0,79238.0,46256.07875006915,0.0,8.0,American Express,3979.0
70,71,1070,Bonilla,35.0,New York,Female,38.0,5.0,66133.0,10.0,0.0,0.0,125433.0,49873.75270161952,1.0,2.0,Discover,3529.0
71,72,1071,Gardner,49.0,Columbus,Female,27.0,16.0,67458.0,3.0,1.0,0.0,127092.0,77054.18534147342,0.0,2.0,Visa,1555.0
72,73,1072,Hawkins,3.0,Philadelphia,Male,22.0,17.0,28526.0,9.0,1.0,0.0,22147.0,4100.926849919382,0.0,6.0,Visa,3633.0
73,74,1073,Scott,1.0,Phoenix,Female,53.0,7.0,74493.0,5.0,1.0,0.0,58445.0,21754.448478272,0.0,8.0,American Express,675.0
74,75,1074,Thomas,5.0,Austin,Female,23.0,8.0,53198.0,3.0,1.0,1.0,126170.0,71944.80424287317,0.0,5.0,Visa,4187.0
75,76,1075,Vang,53.0,Houston,Female,43.0,5.0,44395.0,5.0,0.0,0.0,153085.0,36935.889687938,1.0,1.0,MasterCard,36.0
76,77,1076,Norton,3.0,Fort Worth,Female,21.0,4.0,25031.0,2.0,1.0,0.0,105617.0,41566.00231127284,0.0,0.0,Discover,3836.0
77,78,1077,Berg,53.0,Austin,Male,56.0,11.0,76542.0,4.0,0.0,0.0,73502.0,71216.71129208046,1.0,1.0,MasterCard,1787.0
78,79,1078,Tate,92.0,Chicago,Female,56.0,10.0,38701.0,10.0,1.0,1.0,137116.0,53818.11447040068,1.0,0.0,American Express,2727.0
79,80,1079,Myers,62.0,New York,,67.0,0.0,26939.0,2.0,1.0,0.0,57755.0,11129.323493037504,1.0,9.0,American Express,3880.0
80,81,1080,Vargas,17.0,Philadelphia,Female,52.0,10.0,50145.0,2.0,1.0,0.0,159805.0,68083.42536213205,0.0,9.0,Visa,1894.0
81,82,1081,Gonzalez,89.0,Seattle,Male,18.0,18.0,21324.0,8.0,0.0,0.0,29479.0,13154.242113804665,0.0,8.0,Visa,136.0
82,83,1082,Carter,43.0,San Jose,Male,41.0,8.0,23867.0,1.0,0.0,0.0,95361.0,41257.199403531165,0.0,9.0,American Express,3076.0
83,84,1083,Jones,33.0,Phoenix,Male,53.0,10.0,1203.0,7.0,0.0,1.0,172376.0,70643.2798215962,0.0,7.0,American Express,3883.0
84,85,1084,Schneider,73.0,San Jose,Male,23.0,11.0,17544.0,5.0,1.0,0.0,186766.0,52429.08831632262,1.0,6.0,MasterCard,661.0
85,86,1085,,61.0,Jacksonville,Male,58.0,3.0,16899.0,8.0,1.0,0.0,144232.0,66762.43055236794,1.0,2.0,MasterCard,1810.0
86,87,1086,Solis,99.0,Los Angeles,Male,63.0,3.0,30063.0,1.0,1.0,1.0,125586.0,54963.39284372618,0.0,7.0,Visa,414.0
87,88,1087,Shaw,13.0,Fort Worth,Male,61.0,17.0,91880.0,7.0,1.0,1.0,101171.0,68681.99046401803,0.0,1.0,MasterCard,342.0
88,89,1088,,94.0,San Diego,Female,48.0,14.0,4748.0,5.0,0.0,1.0,134151.0,43131.25600244357,0.0,1.0,Visa,2729.0
89,90,1089,Garcia,47.0,Los Angeles,Female,37.0,18.0,67629.0,4.0,1.0,0.0,106296.0,67319.67136995534,0.0,10.0,,3450.0
90,91,1090,Meyers,14.0,Washington,Female,41.0,12.0,81764.0,7.0,0.0,1.0,160562.0,77433.67591186934,0.0,9.0,Discover,3665.0
91,92,1091,Bailey,71.0,New York,Male,42.0,18.0,21884.0,10.0,1.0,0.0,172324.0,66933.62513493531,0.0,2.0,Visa,3737.0
92,93,1092,Morgan,77.0,Phoenix,Male,53.0,16.0,26183.0,2.0,0.0,1.0,157934.0,53881.289228128895,0.0,6.0,MasterCard,3897.0
93,94,1093,Jackson,86.0,Dallas,Male,38.0,5.0,82570.0,1.0,0.0,0.0,89959.0,35582.933735978724,1.0,0.0,American Express,4241.0
94,95,1094,Lucas,61.0,Indianapolis,Male,47.0,15.0,50970.0,1.0,1.0,1.0,161522.0,79918.05306452882,1.0,7.0,American Express,4418.0
95,96,1095,Daniels,39.0,Dallas,Male,41.0,11.0,20259.0,1.0,1.0,0.0,76022.0,22453.28169792614,1.0,6.0,MasterCard,2169.0
96,97,1096,Jordan,84.0,Austin,Female,61.0,18.0,36959.0,5.0,0.0,1.0,81991.0,25586.16912495623,1.0,3.0,American Express,1878.0
97,98,1097,Hendrix,79.0,Charlotte,Female,59.0,4.0,34457.0,10.0,1.0,0.0,191999.0,67779.0665797297,0.0,4.0,Visa,3970.0
98,99,1098,Smith,81.0,Philadelphia,Male,47.0,16.0,86679.0,7.0,1.0,0.0,69853.0,51577.43071717421,0.0,9.0,American Express,4696.0
99,100,1099,Craig,52.0,Chicago,Male,39.0,0.0,3103.0,2.0,0.0,0.0,51826.0,13081.47138796389,0.0,0.0,MasterCard,4570.0
100,101,1100,Moon,23.0,Indianapolis,Male,45.0,9.0,50970.0,10.0,0.0,0.0,62879.0,37818.05068397835,0.0,3.0,American Express,2617.0
101,102,1101,Morris,25.0,Phoenix,Male,24.0,14.0,45535.0,8.0,0.0,0.0,92361.0,44011.87750287097,0.0,0.0,Visa,1515.0
102,103,1102,Kirby,88.0,Jacksonville,Female,52.0,20.0,17103.0,4.0,0.0,0.0,97990.0,12456.161139897013,1.0,0.0,Visa,574.0
103,104,1103,Henderson,59.0,Seattle,Male,45.0,20.0,99046.0,3.0,1.0,0.0,109787.0,48919.88594626481,0.0,9.0,MasterCard,4442.0
104,105,1104,Cook,40.0,Columbus,Male,31.0,10.0,50970.0,10.0,0.0,0.0,60736.0,42660.07889247562,1.0,0.0,MasterCard,2867.0
105,106,1105,Miller,28.0,Austin,Male,27.0,12.0,79278.0,8.0,0.0,1.0,44530.0,31389.106388473032,0.0,6.0,MasterCard,3544.0
106,107,1106,Espinoza,14.0,Dallas,Male,33.0,4.0,13391.0,2.0,0.0,0.0,198130.0,78708.19911280418,1.0,6.0,Discover,4477.0
107,108,1107,Levy,44.0,Los Angeles,Female,33.0,0.0,29901.0,3.0,1.0,0.0,126080.0,61278.42104250544,0.0,3.0,Discover,71.0
108,109,1108,Vang,64.0,Jacksonville,Male,48.0,11.0,98537.0,3.0,0.0,1.0,94255.0,63071.98666355437,1.0,1.0,Visa,2568.0
109,110,1109,Anderson,88.0,Chicago,Male,59.0,10.0,82159.0,10.0,1.0,0.0,155958.0,91666.46787312596,0.0,2.0,Discover,3437.0
110,111,1110,Wood,70.0,Chicago,Female,42.0,16.0,68914.0,1.0,0.0,1.0,146598.0,71004.90672256815,0.0,7.0,Discover,2980.0
111,112,1111,Turner,8.0,New York,Female,30.0,3.0,51357.0,6.0,0.0,0.0,138623.0,67957.81925903838,0.0,7.0,American Express,1117.0
112,113,1112,Simon,87.0,San Diego,Female,23.0,14.0,87908.0,2.0,1.0,1.0,57387.0,37457.04023403968,0.0,10.0,Discover,2386.0
113,114,1113,Jacobs,0.0,San Diego,Male,61.0,8.0,39437.0,1.0,0.0,1.0,172647.0,93160.19912868724,1.0,10.0,American Express,3508.0
114,115,1114,Wood,50.0,Austin,Male,26.0,20.0,36503.0,2.0,0.0,0.0,132260.0,75388.9865243602,0.0,5.0,MasterCard,1359.0
115,116,1115,Mason,87.0,Dallas,Female,62.0,19.0,97282.0,6.0,1.0,1.0,190715.0,87665.45434517792,1.0,9.0,American Express,4759.0
116,117,1116,Brown,62.0,Phoenix,Female,53.0,18.0,94459.0,4.0,0.0,0.0,161172.0,84042.31229905192,0.0,8.0,American Express,1515.0
117,118,1117,Blackwell,10.0,Columbus,Female,60.0,18.0,76403.0,6.0,0.0,0.0,158928.0,83322.42599364804,1.0,10.0,MasterCard,39.0
118,119,1118,Benitez,80.0,Chicago,Female,37.0,11.0,42258.0,9.0,0.0,0.0,189241.0,73465.65495185892,0.0,8.0,MasterCard,1382.0
119,120,1119,Smith,7.0,Phoenix,Female,35.0,4.0,34724.0,10.0,0.0,0.0,179876.0,65274.35929200296,0.0,3.0,Visa,2030.0
120,121,1120,Tucker,34.0,Phoenix,Female,60.0,9.0,65286.0,10.0,1.0,1.0,186862.0,88725.19751006883,1.0,0.0,Visa,2621.0
121,122,1121,Robbins,34.0,Denver,Male,38.0,16.0,75842.0,8.0,0.0,0.0,50988.0,37780.692460836704,0.0,0.0,Visa,1900.0
122,123,1122,Smith,32.0,Columbus,Male,21.0,4.0,15908.0,1.0,1.0,1.0,96448.0,42785.4444964526,0.0,9.0,Visa,2217.0
123,124,1123,Chavez,4.0,,Male,67.0,15.0,93617.0,8.0,0.0,1.0,189578.0,79893.43656932036,1.0,4.0,American Express,4796.0
124,125,1124,Elliott,40.0,Fort Worth,Female,50.0,6.0,51626.0,9.0,1.0,0.0,133430.0,42890.87851636604,0.0,1.0,American Express,4606.0
125,126,1125,Robinson,27.0,San Jose,Female,44.0,8.0,38228.0,6.0,0.0,0.0,163377.0,64228.674098791016,1.0,5.0,Visa,1283.0
126,127,1126,Lewis,6.0,Seattle,Female,24.0,2.0,24386.0,10.0,1.0,0.0,161041.0,71568.770414942,0.0,6.0,Discover,2447.0
127,128,1127,Rodriguez,72.0,San Diego,Female,23.0,14.0,47754.0,5.0,0.0,0.0,32404.0,14067.632509239582,1.0,0.0,Visa,458.0
128,129,1128,Stewart,71.0,San Diego,Female,32.0,15.0,50970.0,6.0,1.0,1.0,160061.0,73937.64519558867,1.0,5.0,Discover,2265.0
